sample_id,sample_type,pH,conductivity_uS_cm,osmolality,TDS_mg_L,TOC_mg_L,TN_mg_L,stream,recovery_pct
6801,Feed in 25%,7.36,4316,0.069,3362,102.630883099454,55.03807237862,Feed in,25
6802,Feed in 50%,7.5,5890,0.096,4727,149.406622124554,59.17642788372,Feed in,50
6803,Feed in 75%,7.62,10540,0.177,9001,251.973523706854,68.62696153692,Feed in,75
6804,Feed in 80%,7.64,12580,0.318,10960,321.947113800154,73.52837595862,Feed in,80
6805,Feed in 85%,7.66,15160,0.279,13670,402.045036376654,79.46842308302,Feed in,85
6806,Feed in 90%,7.75,20220,0.372,19150,550.336179188554,89.27050993992,Feed in,90
6807,Feed out 25%,7.58,7072,0.116,5765,183.614310347654,63.98108726582,Feed out,25
6808,Feed out 50%,7.62,8567,0.14,7146,210.681174075854,65.39323597262,Feed out,50
6809,Feed out 75%,7.66,14790,0.261,13280,384.041646821654,78.03208561632,Feed out,75
6810,Feed out 80%,7.64,16960,0.302,15520,440.053093486754,81.92128205472,Feed out,80
6811,Feed out 85%,7.68,19850,0.352,18740,544.636249892354,89.44398638362,Feed out,85
6812,Feed out 90%,7.71,23230,0.474,22520,673.433185206554,97.84668670152,Feed out,90
6813,Draw out 25%,6.37,42010,0.825,45230,1.812986534694,4.30945645219,Draw out,25
6814,Draw out 50%,6.31,40780,0.794,43640,1.621064785729,4.862881922945,Draw out,50
6815,Draw out 75%,6.47,44740,0.88,48650,2.657211337449,5.334844695865,Draw out,75
6816,Draw out 80%,6.64,46560,0.945,51020,2.250652990999,5.283588268445,Draw out,80
6817,Draw out 85%,6.53,41730,0.809,44870,1.670082679994,6.054245126805,Draw out,85
